Year,Rk,Name,Team,Age,Pos,Shoots,GP,G,A,P,PIM,+/-,G/GP,A/GP,P/GP,FOW,FOL,FO%,Nationality
2014-2015,6,Nicklas Bäckström,WSH,27,F,Left,82,18,60,78,40,5,0.22,0.732,0.951,862,747,53.57%,Sweden
2014-2015,7,Tyler Seguin,DAL,22,F,Right,71,37,40,77,20,-1,0.521,0.563,1.085,275,236,53.82%,Canada
2014-2015,8,Jirí Hudler,CGY,30,F,Left,78,31,45,76,14,17,0.397,0.577,0.974,21,25,45.65%,Czech Republic
2014-2015,9,Daniel Sedin,VAN,34,F,Left,82,20,56,76,18,5,0.244,0.683,0.927,2,3,40.00%,Sweden
2014-2015,10,Vladimir Tarasenko,STL,23,F,Left,77,37,36,73,31,27,0.481,0.468,0.948,0,3,0.00%,Russia
2015-2016,1,Patrick Kane,CHI,27,F,Left,82,46,60,106,30,17,0.561,0.732,1.293,11,40,0.2157,USA
2015-2016,2,Jamie Benn,DAL,26,F,Left,82,41,48,89,64,7,0.5,0.585,1.085,226,252,0.4728,Canada
2015-2016,3,Sidney Crosby,PIT,28,F,Left,80,36,49,85,42,19,0.45,0.613,1.063,986,921,0.517,Canada
2015-2016,4,Joe Thornton,SJS,36,F,Left,82,19,63,82,54,25,0.232,0.768,1,399,354,0.5299,Canada
2015-2016,5,Erik Karlsson,OTT,25,D,Right,82,16,66,82,50,-2,0.195,0.805,1,0,1,0,Sweden
2015-2016,6,Joe Pavelski,SJS,31,F,Right,82,38,40,78,30,25,0.463,0.488,0.951,516,422,0.5501,USA
2015-2016,7,Johnny Gaudreau,CGY,22,F,Left,79,30,48,78,20,4,0.38,0.608,0.987,2,3,0.4,USA
2015-2016,8,Blake Wheeler,WPG,29,F,Right,82,26,52,78,49,8,0.317,0.634,0.951,10,18,0.3571,USA
2015-2016,9,Artemi Panarin,CHI,24,F,Right,80,30,47,77,32,8,0.375,0.588,0.963,0,0,0,Russia
2015-2016,10,Evgeny Kuznetsov,WSH,23,F,Left,82,20,57,77,32,27,0.244,0.695,0.939,543,594,0.4776,Russia
2016-2017,1,Connor McDavid,EDM,19,F,Left,82,30,70,100,26,27,0.366,0.854,1.22,348,458,43.18%,Canada
2016-2017,2,Sidney Crosby,PIT,29,F,Left,75,44,45,89,24,17,0.587,0.6,1.187,842,906,48.17%,Canada
2016-2017,3,Patrick Kane,CHI,28,F,Left,82,34,55,89,32,11,0.415,0.671,1.085,7,44,13.73%,USA
2016-2017,4,Nicklas Bäckström,WSH,29,F,Left,82,23,63,86,38,17,0.28,0.768,1.049,685,648,51.39%,Sweden
2016-2017,5,Nikita Kucherov,TBL,23,F,Left,74,40,45,85,38,13,0.541,0.608,1.149,0,0,0.00%,Russia
2016-2017,6,Brad Marchand,BOS,28,F,Left,80,39,46,85,81,18,0.488,0.575,1.063,13,23,36.11%,Canada
2016-2017,7,Mark Scheifele,WPG,23,F,Right,79,32,50,82,38,18,0.405,0.633,1.038,635,826,43.46%,Canada
2016-2017,8,Leon Draisaitl,EDM,21,F,Left,82,29,48,77,20,7,0.354,0.585,0.939,476,496,48.97%,Germany
2016-2017,9,Brent Burns,SJS,31,D,Right,82,29,47,76,40,19,0.354,0.573,0.927,0,0,0.00%,Canada
2016-2017,10,Vladimir Tarasenko,STL,25,F,Left,82,39,36,75,12,-1,0.476,0.439,0.915,5,5,50.00%,Russia
2017-2018,1,Connor McDavid,EDM,20,F,Left,82,41,67,108,26,20,0.5,0.817,1.317,376,533,41.36%,Canada
2017-2018,2,Claude Giroux,PHI,29,F,Right,82,34,68,102,20,28,0.415,0.829,1.244,638,450,58.64%,Canada
2017-2018,3,Nikita Kucherov,TBL,24,F,Left,80,39,61,100,42,15,0.488,0.763,1.25,3,2,60.00%,Russia
2017-2018,4,Evgeni Malkin,PIT,31,F,Left,78,42,56,98,87,16,0.538,0.718,1.256,460,592,43.73%,Russia
2017-2018,5,Nathan MacKinnon,COL,22,F,Right,74,39,58,97,55,11,0.527,0.784,1.311,485,672,41.92%,Canada
2017-2018,6,Taylor Hall,NJD,26,F,Left,76,39,54,93,34,14,0.513,0.711,1.224,72,76,48.65%,Canada
2017-2018,7,Anze Kopitar,LAK,30,F,Left,82,35,57,92,20,21,0.427,0.695,1.122,983,833,54.13%,Slovenia
2017-2018,8,Phil Kessel,PIT,30,F,Right,82,34,58,92,36,-4,0.415,0.707,1.122,6,13,31.58%,USA
2017-2018,9,Blake Wheeler,WPG,31,F,Right,81,23,68,91,52,13,0.284,0.84,1.123,166,196,45.86%,USA
2017-2018,10,Sidney Crosby,PIT,30,F,Left,82,29,60,89,46,0,0.354,0.732,1.085,1026,909,53.02%,Canada
2018-2019,1,Nikita Kucherov,TBL,25,F,Left,82,41,87,128,62,24,0.5,1.061,1.561,0,3,0.00%,Russia
2018-2019,2,Connor McDavid,EDM,21,F,Left,78,41,75,116,20,3,0.526,0.962,1.487,428,490,46.62%,Canada
2018-2019,3,Patrick Kane,CHI,30,F,Left,81,44,66,110,22,2,0.543,0.815,1.358,1,4,20.00%,USA
2018-2019,4,Leon Draisaitl,EDM,23,F,Left,82,50,55,105,52,2,0.61,0.671,1.28,677,663,50.52%,Germany
2018-2019,5,Brad Marchand,BOS,30,F,Left,79,36,64,100,96,15,0.456,0.81,1.266,45,60,42.86%,Canada
2018-2019,6,Sidney Crosby,PIT,31,F,Left,79,35,65,100,36,18,0.443,0.823,1.266,1012,814,55.42%,Canada
2018-2019,7,Nathan MacKinnon,COL,23,F,Right,82,41,58,99,34,20,0.5,0.707,1.207,517,666,43.70%,Canada
2018-2019,8,Johnny Gaudreau,CGY,25,F,Left,82,36,63,99,24,18,0.439,0.768,1.207,1,2,33.33%,USA
2018-2019,9,Steven Stamkos,TBL,28,F,Right,82,45,53,98,37,4,0.549,0.646,1.195,506,447,53.10%,Canada
2018-2019,10,Aleksander Barkov,FLA,23,F,Left,82,35,61,96,8,-3,0.427,0.744,1.171,1041,898,53.69%,Finland
2019-2020,1,Leon Draisaitl,EDM,24,F,Left,71,43,67,110,18,-7,0.606,0.944,1.549,661,609,0.5205,Germany
2019-2020,2,Connor McDavid,EDM,22,F,Left,64,34,63,97,28,-6,0.531,0.984,1.516,320,349,0.4783,Canada
2019-2020,3,David Pastrnak,BOS,23,F,Right,70,48,47,95,40,21,0.686,0.671,1.357,7,11,0.3889,Czech Republic
2019-2020,4,Artemi Panarin,NYR,28,F,Right,69,32,63,95,20,36,0.464,0.913,1.377,1,1,0.5,Russia
2019-2020,5,Nathan MacKinnon,COL,24,F,Right,69,35,58,93,12,13,0.507,0.841,1.348,362,478,0.431,Canada
2019-2020,6,Brad Marchand,BOS,31,F,Left,70,28,59,87,82,25,0.4,0.843,1.243,22,29,0.4314,Canada
2019-2020,7,Nikita Kucherov,TBL,26,F,Left,68,33,52,85,38,26,0.485,0.765,1.25,0,1,0,Russia
2019-2020,8,Patrick Kane,CHI,31,F,Left,70,33,51,84,40,8,0.471,0.729,1.2,1,3,0.25,USA
2019-2020,9,Auston Matthews,TOR,22,F,Left,70,47,33,80,8,19,0.671,0.471,1.143,506,414,0.55,USA
2019-2020,10,Jack Eichel,BUF,23,F,Right,68,36,42,78,34,5,0.529,0.618,1.147,614,697,0.4683,USA
2020-2021,1,Connor McDavid,EDM,23,F,Left,56,33,72,105,20,21,0.589,1.286,1.875,316,322,0.4953,Canada
2020-2021,2,Leon Draisaitl,EDM,25,F,Left,56,31,53,84,22,29,0.554,0.946,1.5,574,457,0.5567,Germany
2020-2021,3,Brad Marchand,BOS,32,F,Left,53,29,40,69,46,26,0.547,0.755,1.302,11,24,0.3143,Canada
2020-2021,4,Mitchell Marner,TOR,23,F,Right,55,20,47,67,20,21,0.364,0.855,1.218,4,1,0.8,Canada
2020-2021,5,Auston Matthews,TOR,23,F,Left,52,41,25,66,10,21,0.788,0.481,1.269,450,417,0.519,USA
2020-2021,6,Mikko Rantanen,COL,24,F,Left,52,30,36,66,34,30,0.577,0.692,1.269,32,32,0.5,Finland
2020-2021,7,Patrick Kane,CHI,32,F,Left,56,15,51,66,14,-7,0.268,0.911,1.179,2,5,0.2857,USA
2020-2021,8,Nathan MacKinnon,COL,25,F,Right,48,20,45,65,37,22,0.417,0.938,1.354,239,254,0.4848,Canada
2020-2021,9,Mark Scheifele,WPG,27,F,Right,56,21,42,63,12,-4,0.375,0.75,1.125,352,355,0.4979,Canada
2020-2021,10,Sidney Crosby,PIT,33,F,Left,55,24,38,62,26,8,0.436,0.691,1.127,676,586,0.5357,Canada
